id,название,бренд,цена,рейтинг,в наличии
310356224,"Wi-Fi Роутер на 4 антенны двухдиапазонный, домашний AX3000T",Xiaomi,3158.0,5,33
206355712,Роутер wifi AX3000T White вай фай маршрутизатор,Xiaomi,3979.0,5,33
197743563,Роутер wifi беспроводной AX3000T маршрутизатор меш,Xiaomi,3959.0,5,32
247739344,Роутер wifi AX3000T White вай фай маршрутизатор,Xiaomi,3684.0,5,32
279269242,"Wi-Fi роутер со встроенным VPN, AX3000T",Xiaomi,8262.0,0,21
248725032,Wi-Fi роутер Router AX3000T белый DVB4441GL,Xiaomi,4559.0,5,64
314310614,"Wi-Fi роутер AX3000T, AX3000, белый",Xiaomi,3854.0,0,32
